id,name,description,ingredients,imageUrl,departmentId,department
11,Arroz con Coco,Arroz dulce o salado preparado con leche de coco.,"Arroz, Coco rallado, Azúcar (para dulce) o sal",https://apicolombiastorage.blob.core.windows.net/typicaldishes/11. Arroz con Coco.jpg,6,"{'id': 6, 'name': 'Bolívar', 'description': 'Bolívar es uno de los treinta y dos departamentos que, junto con Bogotá, Distrito Capital, forman la República de Colombia. Su capital es Cartagena de Indias, sede de la asamblea departamental, mientras que en Turbaco se encuentra la sede de la gobernación. Está ubicado en la región Caribe, limitando al norte con el mar Caribe (océano Atlántico), al noreste con Atlántico, al este con Magdalena y Cesar, al sureste con Santander, al suroeste con Antioquia y al oeste con Córdoba y Sucre.', 'cityCapitalId': 210, 'municipalities': 45, 'surface': 25978, 'population': 2236603, 'phonePrefix': '5', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 1, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
12,Cabrito Asado,"Carne de cabro sazonada y asada lentamente, típico de Santander.","Carne de cabro, Limón, Ajol Comino, Sal y pimienta",https://apicolombiastorage.blob.core.windows.net/typicaldishes/12. Cabrito Asado.jpg,28,"{'id': 28, 'name': 'Santander', 'description': 'Santander es uno de los treinta y dos departamentos que, junto con Bogotá, Distrito Capital, forman la República de Colombia. Su capital es Bucaramanga. Está ubicado al noreste del país, en la región andina, limitando al norte con Cesar y Norte de Santander, al este y sur con Boyacá, al oeste con Antioquia y al noroeste con Bolívar.7\u200b Con unos 2 280 908 habitantes en 2018 es el sexto departamento por población. Recibe su nombre en alusión a Francisco de Paula Santander, prócer de la independencia de la Nueva Granada', 'cityCapitalId': 915, 'municipalities': 87, 'surface': 30537, 'population': 2324090, 'phonePrefix': '7', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 5, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
13,Pepitoria,"Guiso preparado con vísceras de cabrito, arroz y especias.","Vísceras de cabro, Arroz, Cebolla, Ajo, Comino y achiote",https://apicolombiastorage.blob.core.windows.net/typicaldishes/13. Pepitoria.jpg,28,"{'id': 28, 'name': 'Santander', 'description': 'Santander es uno de los treinta y dos departamentos que, junto con Bogotá, Distrito Capital, forman la República de Colombia. Su capital es Bucaramanga. Está ubicado al noreste del país, en la región andina, limitando al norte con Cesar y Norte de Santander, al este y sur con Boyacá, al oeste con Antioquia y al noroeste con Bolívar.7\u200b Con unos 2 280 908 habitantes en 2018 es el sexto departamento por población. Recibe su nombre en alusión a Francisco de Paula Santander, prócer de la independencia de la Nueva Granada', 'cityCapitalId': 915, 'municipalities': 87, 'surface': 30537, 'population': 2324090, 'phonePrefix': '7', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 5, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
14,Cuy Asado,"Raza especial de cuy, asado sobre brasas, acompañado de papas.","Cuy, Papas, Ajo, Comino, Sal",https://apicolombiastorage.blob.core.windows.net/typicaldishes/14. Cuy Asado.jpg,22,"{'id': 22, 'name': 'Nariño', 'description': 'Nariño es uno de los treinta y dos departamentos que, junto con Bogotá, Distrito Capital, forman la República de Colombia. Su capital es San Juan de Pasto. Está ubicado en el extremo suroeste del país, en las regiones andina y pacífica, limitando al norte con Cauca, al este con Putumayo, al sur con las provincias de Esmeraldas, Carchi y Sucumbíos de la República de Ecuador y al oeste con el océano Pacífico. Fue fundado en 1904 con la unión de lo que eran las provincias de Pasto y Obando.', 'cityCapitalId': 769, 'municipalities': 64, 'surface': 33268, 'population': 1629181, 'phonePrefix': '2', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 2, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
15,Empanadas de Pipián,Empanadas rellenas de un guiso de papa y maní.,"Masa de maíz, Papa, Maní, Achiote, Comino",https://apicolombiastorage.blob.core.windows.net/typicaldishes/15. Empanadas de Pipian.png,11,"{'id': 11, 'name': 'Cauca', 'description': 'Cauca es uno de los treinta y dos departamentos que, junto al Distrito Capital de Bogotá, conforman la República de Colombia. Su capital y ciudad más poblada es Popayán. Está ubicado al suroccidente del país entre las regiones andina y pacífica, limitando al norte con Valle del Cauca y Tolima, al oriente con Huila, al suroriente con Caquetá, al sur con Putumayo y Nariño, y al noroccidente con el océano Pacífico', 'cityCapitalId': 399, 'municipalities': 41, 'surface': 29308, 'population': 1516018, 'phonePrefix': '2', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 2, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
16,Arroz de Lisa,"Arroz cocido con pescado lisa, típico de Barranquilla.","Arroz, Lisa (pescado), Suero costeño, Plátano maduro, Yuca",https://apicolombiastorage.blob.core.windows.net/typicaldishes/16. Arroz de Lisa.jpg,4,"{'id': 4, 'name': 'Atlántico', 'description': 'El Atlántico es uno de los treinta y dos departamentos que, junto a Bogotá, Distrito Capital, forman la República de Colombia. Su capital es Barranquilla. Ubicado en la región Caribe, limita al norte con el mar Caribe, al Oriente con el río Magdalena y al Sur y al Occidente con el departamento de Bolívar. Con unos 2 500 000 habitantes en 2015, es el cuarto departamento más poblado (por detrás de Antioquia, Valle del Cauca y Cundinamarca); con 3019 km² es el tercero menos extenso (por delante de Quindío y San Andrés y Providencia, el menos extenso) y con 815 hab/km² es el segundo más densamente poblado (por detrás de San Andrés y Providencia)', 'cityCapitalId': 144, 'municipalities': 23, 'surface': 3388, 'population': 2804025, 'phonePrefix': '5', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 1, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
17,Butifarra Soledeña,"Embutido de cerdo, típico de Soledad, Atlántico.","Carne de cerdo, Ajo, Pimienta, Comino, SalCarne de cerdo, Ajo, Pimienta, Comino, Sal",https://apicolombiastorage.blob.core.windows.net/typicaldishes/17. Butifarra Soledena.jpg,4,"{'id': 4, 'name': 'Atlántico', 'description': 'El Atlántico es uno de los treinta y dos departamentos que, junto a Bogotá, Distrito Capital, forman la República de Colombia. Su capital es Barranquilla. Ubicado en la región Caribe, limita al norte con el mar Caribe, al Oriente con el río Magdalena y al Sur y al Occidente con el departamento de Bolívar. Con unos 2 500 000 habitantes en 2015, es el cuarto departamento más poblado (por detrás de Antioquia, Valle del Cauca y Cundinamarca); con 3019 km² es el tercero menos extenso (por delante de Quindío y San Andrés y Providencia, el menos extenso) y con 815 hab/km² es el segundo más densamente poblado (por detrás de San Andrés y Providencia)', 'cityCapitalId': 144, 'municipalities': 23, 'surface': 3388, 'population': 2804025, 'phonePrefix': '5', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 1, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
18,Asado Huilense,Carne de cerdo marinada y asada lentamente en hojas de plátano.,"Carne de cerdo, Hojas de plátano, Ajo y cebolla, Sal y pimienta, Cerveza (opcional)",https://apicolombiastorage.blob.core.windows.net/typicaldishes/18. Asado Huilense.jpg,18,"{'id': 18, 'name': 'Huila', 'description': 'Huila es uno de los treinta y dos departamentos que junto con Bogotá, Distrito Capital, conforman la República de Colombia. Su capital y ciudad más poblada es Neiva. Está ubicado al suroeste del país, en la región andina, limitando al norte con Tolima y Cundinamarca, al este con Meta, al sur con Caquetá y al oeste con Cauca.', 'cityCapitalId': 657, 'municipalities': 37, 'surface': 19890, 'population': 1140932, 'phonePrefix': '8', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 5, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
19,Champús,"Bebida espesa preparada con maíz, frutas y especias.","Maíz molido, Lulo, Piña, Panela, Canela y clavos",https://apicolombiastorage.blob.core.windows.net/typicaldishes/19. Champus.jpg,31,"{'id': 31, 'name': 'Valle del Cauca', 'description': 'Valle del Cauca es uno de los treinta y dos departamentos que, junto con Bogotá, Distrito Capital, forman la República de Colombia. Su capital es Cali. Está ubicado en las regiones Andina y del Pacífico, limitando al norte con Chocó y Risaralda, al este con Quindío y Tolima, al sur con Cauca y al oeste con el océano Pacífico. Con 4 600 000 habitantes en 2015 es el segundo departamento más poblado', 'cityCapitalId': 1093, 'municipalities': 42, 'surface': 22140, 'population': 4589278, 'phonePrefix': '2', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 2, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
20,Sopa de Carantanta,Sopa hecha con carantanta (corteza de maíz tostada) y leche.,"Carantanta, Leche, Papa, Cilantro, Sal",https://apicolombiastorage.blob.core.windows.net/typicaldishes/20. Sopa de carantanta.png,11,"{'id': 11, 'name': 'Cauca', 'description': 'Cauca es uno de los treinta y dos departamentos que, junto al Distrito Capital de Bogotá, conforman la República de Colombia. Su capital y ciudad más poblada es Popayán. Está ubicado al suroccidente del país entre las regiones andina y pacífica, limitando al norte con Valle del Cauca y Tolima, al oriente con Huila, al suroriente con Caquetá, al sur con Putumayo y Nariño, y al noroccidente con el océano Pacífico', 'cityCapitalId': 399, 'municipalities': 41, 'surface': 29308, 'population': 1516018, 'phonePrefix': '2', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 2, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
21,Caldo de Pirarucú,"Sopa con el pescado pirarucú, típico del Amazonas.","Pirarucú (pescado), Papa, Yuca, Cebolla, Cilantro",https://apicolombiastorage.blob.core.windows.net/typicaldishes/21. Caldo de pirarucu.png,1,"{'id': 1, 'name': 'Amazonas', 'description': 'Amazonas es uno de los treinta y dos departamentos que, junto con Bogotá, Distrito Capital, forman la República de Colombia. Su capital es Leticia. Está ubicado en el extremo sur del país, en gran parte al sur de la línea ecuatorial, en la región Amazonia. Limita al norte con Caquetá y Vaupés, al este con el estado brasileño del mismo nombre, al sur con el departamento peruano de Loreto y al oeste con Putumayo. Con 110 000 km² es el departamento más extenso de Colombia, con unos 75\xa0000 habitantes en 2015, el cuarto menos poblado —por delante de Vichada, Vaupés y Guainía, el menos poblado— y con 0.68\xa0hab/km², el tercero menos densamente poblado, por delante de Vichada y Guainía, el menos densamente poblado.', 'cityCapitalId': 1, 'municipalities': 2, 'surface': 109665, 'population': 82068, 'phonePrefix': '8', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 4, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
22,Chivo Guisado,Guiso de carne de chivo cocida con especias y aliños.,"Carne de chivo, Ajo y cebolla, Tomate, Comino, Achote",https://apicolombiastorage.blob.core.windows.net/typicaldishes/22. Chivo Guisado.png,19,"{'id': 19, 'name': 'La Guajira', 'description': 'La Guajira (en wayuunaiki: Wajiira o Karibyczonn) es uno de los treinta y dos departamentos que, junto con Bogotá, Distrito Capital, forman la República de Colombia. La traducción más precisa de su nombre sería «Caribe hermoso» y en wayunaiki antiguo Karive Pala «Mar Caribe» también puede significar Mar del Caribe. Su capital es Riohacha. Está ubicado en el extremo noreste del país, en la región Caribe, limitando al norte y este con el mar Caribe (océano Atlántico), al sureste con el estado Venezolano del Zulia, al sur con el departamento del Cesar y al oeste con el del Magdalena.', 'cityCapitalId': 694, 'municipalities': 15, 'surface': 20848, 'population': 1002394, 'phonePrefix': '5', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 1, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
23,Tacacho con Cecina,"Plátano asado y aplastado, acompañado de carne seca.","Plátano verde, Carne de cecina (seca), Aceite o manteca, Sal",https://apicolombiastorage.blob.core.windows.net/typicaldishes/23. Tacacho con cecina.png,1,"{'id': 1, 'name': 'Amazonas', 'description': 'Amazonas es uno de los treinta y dos departamentos que, junto con Bogotá, Distrito Capital, forman la República de Colombia. Su capital es Leticia. Está ubicado en el extremo sur del país, en gran parte al sur de la línea ecuatorial, en la región Amazonia. Limita al norte con Caquetá y Vaupés, al este con el estado brasileño del mismo nombre, al sur con el departamento peruano de Loreto y al oeste con Putumayo. Con 110 000 km² es el departamento más extenso de Colombia, con unos 75\xa0000 habitantes en 2015, el cuarto menos poblado —por delante de Vichada, Vaupés y Guainía, el menos poblado— y con 0.68\xa0hab/km², el tercero menos densamente poblado, por delante de Vichada y Guainía, el menos densamente poblado.', 'cityCapitalId': 1, 'municipalities': 2, 'surface': 109665, 'population': 82068, 'phonePrefix': '8', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 4, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
24,Arepa ocañera,"Arepa pequeña y crocante, hecha con maíz y mantequilla.","Maíz, mantequilla y sal.",https://apicolombiastorage.blob.core.windows.net/typicaldishes/24. Arepa Ocanera.jpg,23,"{'id': 23, 'name': 'Norte de Santander', 'description': 'Norte de Santander es uno de los treinta y dos departamentos que, junto con Bogotá, Distrito Capital, forman la República de Colombia. Su capital es la ciudad de Cúcuta. Es una entidad territorial que goza de autonomía para la administración de los asuntos seccionales y la planificación y promoción del desarrollo económico y social dentro de su territorio, tiene una extensión de 22.648 km², que equivalen al 1.91% del territorio nacional, ubicado en la región nororiental de Colombia. Limita al norte y al este con los estados de Zulia y Táchira de Venezuela, al sur con los departamentos de Boyacá y Santander, y al oeste con Santander y Cesar.', 'cityCapitalId': 870, 'municipalities': 40, 'surface': 21658, 'population': 1651278, 'phonePrefix': '7', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 5, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
25,Arroz clavado,"Es un arroz preparado con ingredientes básicos como arroz, aceite, ajo, cebolla, y caldo, que se cocina a fuego lento para formar una capa crujiente en el fondo de la olla. Es un plato típico del Chocó, servido tradicionalmente con pescados, mariscos, o carne.","Arroz, Ajo, Cebolla, Caldo o agua, Aceite o manteca y Sal",https://apicolombiastorage.blob.core.windows.net/typicaldishes/25. Arroz clavado.jpg,13,"{'id': 13, 'name': 'Chocó', 'description': 'Chocó es uno de los treinta y dos departamentos que, junto con Bogotá, Distrito Capital, forman la República de Colombia. Su capital es Quibdó. Está ubicado al noroeste del país, en las regiones andina y Pacífico, limitando al norte con la República de Panamá y el mar Caribe (océano Atlántico), al este con Antioquia y Risaralda, al sur con Valle del Cauca y al oeste con el océano Pacífico.', 'cityCapitalId': 467, 'municipalities': 31, 'surface': 46530, 'population': 553519, 'phonePrefix': '4', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 2, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
26,Mote de queso,Sopa de ñame con queso costeño y suero.,"Ñame, queso costeño, suero, cebolla y ajo.",https://apicolombiastorage.blob.core.windows.net/typicaldishes/26. Mote de queso.jpg,14,"{'id': 14, 'name': 'Córdoba', 'description': 'Córdoba es uno de los 32 departamentos que, junto con Bogotá, Distrito Capital, forman la República de Colombia. Su capital es Montería. Está ubicado al norte del país, en la región Caribe, limitando al norte con el mar Caribe (océano Atlántico), al este con los departamentos de Sucre y Bolívar, y al sur y oeste con el departamento de Antioquia. Con 1\xa0710\xa0000 habitantes en 2015, es el octavo departamento más poblado, por detrás de Bogotá, Antioquia, Valle del Cauca, Cundinamarca, Atlántico, Santander y Bolívar. Fue creado por medio de la Ley 9 del 18 de diciembre de 1951, reglamentada el 18 de junio de 1952.', 'cityCapitalId': 498, 'municipalities': 30, 'surface': 25020, 'population': 1856496, 'phonePrefix': '4', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 1, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
27,Cayeye,Puré de banano verde con queso costeño.,"Banano verde, queso costeño, mantequilla y sal.",https://apicolombiastorage.blob.core.windows.net/typicaldishes/27. Cayeye.jpg,20,"{'id': 20, 'name': 'Magdalena', 'description': 'Magdalena es uno de los treinta y dos departamentos que, junto con Bogotá, Distrito Capital, forman la República de Colombia. Su capital es Santa Marta. Está ubicado al noreste del país, en la región Caribe. Limita al norte con el mar Caribe, al este con La Guajira, al sureste con Cesar, al sur y oeste con Bolívar y al oeste con Atlántico. Fue uno de los originales nueve estados que conformaron los Estados Unidos de Colombia. El departamento toma el nombre del río Magdalena. Entre sus municipios se encuentra Aracataca, el lugar de nacimiento del premio Nobel de literatura Gabriel García Márquez.', 'cityCapitalId': 709, 'municipalities': 30, 'surface': 23188, 'population': 1463427, 'phonePrefix': '5', 'countryId': 1, 'cityCapital': None, 'country': None, 'cities': None, 'regionId': 1, 'region': None, 'naturalAreas': None, 'maps': None, 'indigenousReservations': None, 'airports': None}"
